廃棄部分,再利用方法,詳細説明
バナナの皮,土壌改良,土壌改良に有効な栄養が豊富。刻んで土に撒くか乾燥させて混ぜるだけで肥料の役割を担える。
抽出後のコーヒーかす,庭の肥料、花壇の防虫剤,冷蔵庫や靴箱に入れると、不快な匂いを取り除くのに役立つ。乾燥させてから利用。エコ素材としても活用が進む。
卵の殻,園芸用の肥料、害虫駆除,細かく砕いて土に混ぜると、主成分のカルシウムが土壌に栄養を供給し、植物の成長を促進する。庭にまくと害虫駆除にも役立つ。
野菜くず(ヘタ、根っこなど),リボベジ（再生栽培）,豆苗のほか、ニンジン、大根、カブなどのヘタ哉根を水に浸して再生させ、再度葉や根を収穫して食べる。家庭菜園のような楽しみもある。
生ごみ(全般),堆肥(コンポスト)、乾燥肥料,コンポスターや生ごみ処理機を利用して、生ごみを堆肥化したり、乾燥させて量を減らし肥料ろして利用できる。自治体によっては購入助成金制度もある。
柑橘類の皮,虫よけ、加湿,白い部分を取り除き水と一緒に鍋に入れて5分煮る。1日置いてエキスをスプレーボトルに入れると虫よけに。鍋で煮詰める過程は部屋の加湿にも。
じゃがいもの皮,洗剤・磨き剤,じゃがいもに含まれる「サポニン」には、洗剤と同じ界面活性剤に似た作用があります。皮の内側でシンクや蛇口、浴室の鏡を磨くと水垢が落ち、曇り止めの効果も期待できます。
レモン・柑橘類の皮,水垢落とし,絞り終わったレモンやお茶パックに入れた皮を、やかんに水と一緒に入れて数分煮立たせると、水垢（アルカリ性の汚れ）を落とすことができます。また、酢に漬けて天然クリーナーにも。
お茶殻,畳の掃除,お茶殻を絞り、畳全体に均等に撒く。お茶殻と一緒にゴミを掃き取ると、ほこりが舞わずに掃除ができる。
使用済み揚げ油,再利用方法,適切な方法でろ過し、保存期間に気を付ければ、数回は再利用が可能です。これにより、油の廃棄量を減らすことができます。
コーヒーかす,食器洗い用スクラブ,乾燥させたコーヒーかすを少量、食器洗い洗剤に混ぜて使うと、研磨剤的な役割を果たし、鍋などのベタベタした汚れを落とすのに役立ちます。
ネギの根,ガーデニングの土の活性,細かく刻んで土に混ぜることで肥料になる。
